benchmark,reward,walltime,commandline
benchmark://cbench-v1/adpcm,1.0027932960893855,2.9033939838409424,opt -mem2reg -simplifycfg -sroa -sink -simplifycfg -sroa -newgvn -early-cse-memssa -functionattrs -early-cse-memssa -aggressive-instcombine -gvn-hoist -simplifycfg -sroa -early-cse-memssa -sroa -sroa -aggressive-instcombine -sink -instcombine -loop-deletion -aggressive-instcombine -sroa -sroa -sroa -aggressive-instcombine -ipsccp -simplifycfg -gvn-hoist -sroa -simplifycfg -sroa -sroa -newgvn -sroa -mergefunc -sroa -sroa -elim-avail-extern -aggressive-instcombine -instcombine -instnamer -simplifycfg -instcombine -instcombine input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0,2.8038837909698486,opt -mem2reg -simplifycfg -bdce -early-cse-memssa -instcombine -functionattrs -aggressive-instcombine -sroa -sroa -loop-load-elim -instcombine -coro-cleanup -sroa -loop-idiom -gvn-hoist -insert-gcov-profiling -instcombine -sroa -indvars -sroa -simplifycfg -aggressive-instcombine -infer-address-spaces -functionattrs -newgvn -aggressive-instcombine -early-cse-memssa -early-cse-memssa -instcombine -simplifycfg -aggressive-instcombine -partially-inline-libcalls -instcombine -early-cse-memssa -early-cse-memssa -jump-threading input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0,3.801520347595215,opt -mem2reg -simplifycfg -aggressive-instcombine -gvn-hoist -sroa -sccp -slp-vectorizer -simplifycfg -sroa -instcombine -instcombine -instcombine -sroa -gvn-hoist -early-cse-memssa -lowerinvoke -sroa -early-cse-memssa -instcombine -aggressive-instcombine -sroa -sroa -early-cse-memssa -sroa -aggressive-instcombine -instcombine input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0000000000000002,2.8832204341888428,opt -mem2reg -simplifycfg -sroa -early-cse-memssa -scalarizer -sroa -sroa -early-cse-memssa -instcombine -sroa -sroa -sroa -sroa -newgvn -instcombine -sroa -aggressive-instcombine -aggressive-instcombine -simplifycfg -lower-constant-intrinsics -sroa -simplifycfg -load-store-vectorizer -die -scalarizer -early-cse-memssa -sroa -sroa -simplifycfg -insert-gcov-profiling input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0027932960893855,3.69326114654541,opt -mem2reg -simplifycfg -callsite-splitting -aggressive-instcombine -simplifycfg -sroa -gvn-hoist -sroa -sroa -early-cse-memssa -instcombine -aggressive-instcombine -simplifycfg -newgvn -bdce -sroa -newgvn -simplifycfg -early-cse-memssa -aggressive-instcombine -early-cse-memssa -globaldce -callsite-splitting -early-cse -simplifycfg -sroa -aggressive-instcombine input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0,2.8693087100982666,opt -mem2reg -simplifycfg -simplifycfg -early-cse-memssa -sroa -sroa -redundant-dbg-inst-elim -sroa -simplifycfg -sroa -instcombine -aggressive-instcombine -gvn-hoist -instcombine -simplifycfg -gvn-hoist -early-cse-memssa -newgvn -early-cse-memssa -aggressive-instcombine -sroa -sroa -newgvn -loweratomic -sroa -sroa -instcombine -reassociate -early-cse-memssa -sroa -sroa -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9972067039106145,3.9214789867401123,opt -mem2reg -simplifycfg -instcombine -sroa -sroa -instcombine -partially-inline-libcalls -sroa -early-cse -sroa -sroa -sroa -libcalls-shrinkwrap -instcombine -instcombine -sroa -sroa -sroa -coro-split -bdce input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9860335195530727,2.9997310638427734,opt -mem2reg -simplifycfg -libcalls-shrinkwrap -aggressive-instcombine -instcombine -sroa -instcombine -early-cse-memssa -simplifycfg -gvn-hoist -sroa -gvn-hoist -sroa -gvn-hoist -loop-simplifycfg -sroa -mergefunc -always-inline -coro-elide -loop-versioning-licm -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.9972067039106144,3.6757009029388428,opt -mem2reg -simplifycfg -sroa -early-cse-memssa -newgvn -libcalls-shrinkwrap -sroa -early-cse-memssa -aggressive-instcombine -newgvn -coro-cleanup -newgvn -newgvn -sroa -instcombine -sroa -sroa -gvn-hoist -sroa -bdce -sroa -instcombine -sroa -rewrite-statepoints-for-gc -callsite-splitting -early-cse-memssa -simplifycfg -sroa -sroa -aggressive-instcombine -jump-threading -loop-load-elim -instcombine -sroa -aggressive-instcombine -mergeicmps -sroa -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/adpcm,1.0,2.940746307373047,opt -mem2reg -simplifycfg -early-cse-memssa -instcombine -gvn-hoist -newgvn -aggressive-instcombine -early-cse-memssa -tailcallelim -sroa -lower-constant-intrinsics -aggressive-instcombine -sroa -instcombine -simplifycfg -sroa -instcombine -sroa -sroa -sroa -sroa -gvn-hoist -newgvn -early-cse-memssa -newgvn -gvn-hoist input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.9867256637168139,3.8750243186950684,opt -mem2reg -barrier -sroa -simplifycfg -gvn-hoist -sroa -sroa -sroa -partially-inline-libcalls -bdce -sroa -sroa -sroa -instcombine -early-cse-memssa -sroa -jump-threading -aggressive-instcombine -gvn-hoist -load-store-vectorizer -aggressive-instcombine -simplifycfg -early-cse-memssa -aggressive-instcombine -sroa -coro-early -early-cse-memssa -aggressive-instcombine -sroa -sroa -prune-eh -jump-threading -sroa -early-cse-memssa input.bc -o output.bc
benchmark://cbench-v1/bitcount,1.002212389380531,2.7553188800811768,opt -mem2reg -sroa -early-cse-memssa -newgvn -sroa -instcombine -simplifycfg -sroa -aggressive-instcombine -instcombine -sroa -instcombine -sroa -instcombine -sroa -sroa -aggressive-instcombine -early-cse-memssa -sroa -sroa -sroa -sroa -gvn-hoist -early-cse -early-cse-memssa -early-cse-memssa -aggressive-instcombine -sroa -instcombine input.bc -o output.bc
